step,step_unit,loss,macro_f1,val_loss,val_macro_f1
50,n_trees,0.2914121059892851,0.836660835351805,0.3754121541608539,0.8239250595292305
100,n_trees,0.29112090910848937,0.8367340330859528,0.35945278599517844,0.8239766797798801
150,n_trees,0.29111279856265876,0.8367623153747434,0.3593768024555148,0.8240750793422583
200,n_trees,0.29107789094837677,0.8370368219547993,0.3557966125139997,0.8243304870492443
250,n_trees,0.29111550917571083,0.8369996632798689,0.34635505097747477,0.8246568870130823
300,n_trees,0.29108441891362163,0.8370399064245643,0.3447265307137196,0.8250016850406598
350,n_trees,0.2910910822140847,0.8368969249588492,0.34473288053883855,0.8248117719167707
400,n_trees,0.2910928138607566,0.8368252221294199,0.34459572355208345,0.8251765811611937
450,n_trees,0.29106244603973924,0.8370043096785841,0.34447261557198966,0.8249949957467674
500,n_trees,0.2910335698271016,0.8369608004750179,0.34452330805382403,0.8248114572096789
