identificador;clase;cu;canton
7205100;AUTOMOVIL;1.0;21001
6162626;AUTOMOVIL;1.0;11321
8803049;AUTOMOVIL;1.0;21701
7658676;AUTOMOVIL;1.0;10901
8754399;AUTOMOVIL;1.0;21701
9824900;AUTOMOVIL;1.0;21705
6111114;AUTOMOVIL;1.0;21701
9520017;AUTOMOVIL;1.0;21701
8210439;AUTOMOVIL;1.0;20105
7014810;AUTOMOVIL;1.0;20501
8465511;AUTOMOVIL;1.0;11205
6849045;AUTOMOVIL;1.0;21801
6232172;AUTOMOVIL;1.0;21701
7399178;AUTOMOVIL;1.0;21701
6998783;AUTOMOVIL;1.0;21801
9736802;JEEP;1.1;21701
7614405;JEEP;1.1;10901
8624927;JEEP;1.1;10901
7431803;JEEP;1.1;21701
10575419;JEEP;1.1;10901
8721965;JEEP;1.1;21701
7359665;JEEP;1.1;21701
7970348;JEEP;1.1;21705
10012584;JEEP;1.1;11309
9097350;JEEP;1.1;21707
