identificador;clase;cu;canton
9625353;AUTOMOVIL;1.0;21701
10033842;AUTOMOVIL;1.0;21701
10084373;AUTOMOVIL;1.0;21701
10125149;AUTOMOVIL;1.0;21701
10163939;AUTOMOVIL;1.0;21701
10169864;AUTOMOVIL;1.0;21701
10221296;AUTOMOVIL;1.0;21701
10230596;AUTOMOVIL;1.0;21701
10249773;AUTOMOVIL;1.0;21701
10256993;AUTOMOVIL;1.0;21701
10266546;AUTOMOVIL;1.0;21701
10267662;AUTOMOVIL;1.0;21701
10267697;AUTOMOVIL;1.0;21701
10270314;AUTOMOVIL;1.0;21701
10278840;AUTOMOVIL;1.0;21701
10292823;AUTOMOVIL;1.0;21701
10297305;AUTOMOVIL;1.0;21701
10328390;AUTOMOVIL;1.0;21701
10363524;AUTOMOVIL;1.0;21701
10363529;AUTOMOVIL;1.0;21701
10363577;AUTOMOVIL;1.0;21701
10363580;AUTOMOVIL;1.0;21701
10379670;AUTOMOVIL;1.0;21701
10379717;AUTOMOVIL;1.0;21701
10379825;AUTOMOVIL;1.0;21701
10379828;AUTOMOVIL;1.0;21701
10379859;AUTOMOVIL;1.0;21701
10379882;AUTOMOVIL;1.0;21701
10379898;AUTOMOVIL;1.0;21701
10395770;AUTOMOVIL;1.0;21701
10400295;AUTOMOVIL;1.0;21701
10400654;AUTOMOVIL;1.0;21701
10411388;AUTOMOVIL;1.0;21701
10411419;AUTOMOVIL;1.0;21701
10411505;AUTOMOVIL;1.0;21701
10418250;AUTOMOVIL;1.0;21701
10423410;AUTOMOVIL;1.0;21701
10423559;AUTOMOVIL;1.0;21701
10423560;AUTOMOVIL;1.0;21701
10423562;AUTOMOVIL;1.0;21701
10423563;AUTOMOVIL;1.0;21701
10423565;AUTOMOVIL;1.0;21701
10423569;AUTOMOVIL;1.0;21701
10458650;AUTOMOVIL;1.0;21701
10458674;AUTOMOVIL;1.0;21701
10458990;AUTOMOVIL;1.0;21701
10458998;AUTOMOVIL;1.0;21701
10462761;AUTOMOVIL;1.0;21701
10469391;AUTOMOVIL;1.0;21701
10471131;AUTOMOVIL;1.0;21701
10471403;AUTOMOVIL;1.0;21701
10471440;AUTOMOVIL;1.0;21701
10471446;AUTOMOVIL;1.0;21701
10471491;AUTOMOVIL;1.0;21701
10478921;AUTOMOVIL;1.0;21701
10478990;AUTOMOVIL;1.0;21701
10479047;AUTOMOVIL;1.0;21701
10479170;AUTOMOVIL;1.0;21701
10479171;AUTOMOVIL;1.0;21701
10479173;AUTOMOVIL;1.0;21701
10479174;AUTOMOVIL;1.0;21701
10479180;AUTOMOVIL;1.0;21701
10479237;AUTOMOVIL;1.0;21701
10479551;AUTOMOVIL;1.0;21701
10479552;AUTOMOVIL;1.0;21701
10479554;AUTOMOVIL;1.0;21701
10486445;AUTOMOVIL;1.0;21701
10489106;AUTOMOVIL;1.0;21701
10489109;AUTOMOVIL;1.0;21701
10489137;AUTOMOVIL;1.0;21701
10490313;AUTOMOVIL;1.0;21701
10490361;AUTOMOVIL;1.0;21701
10490364;AUTOMOVIL;1.0;21701
10490385;AUTOMOVIL;1.0;21701
10490556;AUTOMOVIL;1.0;21701
10490576;AUTOMOVIL;1.0;21701
10490580;AUTOMOVIL;1.0;21701
10490595;AUTOMOVIL;1.0;21701
10490601;AUTOMOVIL;1.0;21701
10490610;AUTOMOVIL;1.0;21701
10490646;AUTOMOVIL;1.0;21701
10490651;AUTOMOVIL;1.0;21701
10490762;AUTOMOVIL;1.0;21701
10490768;AUTOMOVIL;1.0;21701
10490769;AUTOMOVIL;1.0;21701
10490876;AUTOMOVIL;1.0;21701
10490909;AUTOMOVIL;1.0;21701
10490940;AUTOMOVIL;1.0;21701
10490951;AUTOMOVIL;1.0;21701
10490961;AUTOMOVIL;1.0;21701
10490963;AUTOMOVIL;1.0;21701
10490979;AUTOMOVIL;1.0;21701
10490988;AUTOMOVIL;1.0;21701
10490990;AUTOMOVIL;1.0;21701
10490991;AUTOMOVIL;1.0;21701
10491476;AUTOMOVIL;1.0;21701
10493507;AUTOMOVIL;1.0;21701
10500918;AUTOMOVIL;1.0;21701
10501683;AUTOMOVIL;1.0;21701
10501841;AUTOMOVIL;1.0;21701
10502720;AUTOMOVIL;1.0;21701
10505972;AUTOMOVIL;1.0;21701
10505973;AUTOMOVIL;1.0;21701
10505990;AUTOMOVIL;1.0;21701
10506003;AUTOMOVIL;1.0;21701
10507034;AUTOMOVIL;1.0;21701
10507350;AUTOMOVIL;1.0;21701
10508931;AUTOMOVIL;1.0;21701
10509914;AUTOMOVIL;1.0;21701
10509915;AUTOMOVIL;1.0;21701
10509938;AUTOMOVIL;1.0;21701
10509966;AUTOMOVIL;1.0;21701
10509987;AUTOMOVIL;1.0;21701
10510734;AUTOMOVIL;1.0;21701
10510746;AUTOMOVIL;1.0;21701
10510751;AUTOMOVIL;1.0;21701
10510754;AUTOMOVIL;1.0;21701
10510755;AUTOMOVIL;1.0;21701
10510757;AUTOMOVIL;1.0;21701
10510766;AUTOMOVIL;1.0;21701
10510770;AUTOMOVIL;1.0;21701
10510775;AUTOMOVIL;1.0;21701
10510778;AUTOMOVIL;1.0;21701
10510782;AUTOMOVIL;1.0;21701
10510784;AUTOMOVIL;1.0;21701
10510790;AUTOMOVIL;1.0;21701
10510791;AUTOMOVIL;1.0;21701
10510793;AUTOMOVIL;1.0;21701
10510796;AUTOMOVIL;1.0;21701
10510808;AUTOMOVIL;1.0;21701
10510812;AUTOMOVIL;1.0;21701
10510817;AUTOMOVIL;1.0;21701
10517159;AUTOMOVIL;1.0;21701
10518252;AUTOMOVIL;1.0;21701
10518258;AUTOMOVIL;1.0;21701
10520816;AUTOMOVIL;1.0;21701
10521359;AUTOMOVIL;1.0;21701
10521372;AUTOMOVIL;1.0;21701
10521416;AUTOMOVIL;1.0;21701
10522491;AUTOMOVIL;1.0;21701
10522493;AUTOMOVIL;1.0;21701
10522496;AUTOMOVIL;1.0;21701
10522497;AUTOMOVIL;1.0;21701
10522505;AUTOMOVIL;1.0;21701
10522550;AUTOMOVIL;1.0;21701
10522772;AUTOMOVIL;1.0;21701
10522773;AUTOMOVIL;1.0;21701
10522775;AUTOMOVIL;1.0;21701
10522781;AUTOMOVIL;1.0;21701
10522872;AUTOMOVIL;1.0;21701
10522875;AUTOMOVIL;1.0;21701
10522905;AUTOMOVIL;1.0;21701
10522908;AUTOMOVIL;1.0;21701
10522910;AUTOMOVIL;1.0;21701
10522920;AUTOMOVIL;1.0;21701
10523319;AUTOMOVIL;1.0;21701
10523349;AUTOMOVIL;1.0;21701
10524888;AUTOMOVIL;1.0;21701
10524912;AUTOMOVIL;1.0;21701
10524942;AUTOMOVIL;1.0;21701
10528233;AUTOMOVIL;1.0;21701
10536651;AUTOMOVIL;1.0;21701
10536722;AUTOMOVIL;1.0;21701
10540016;AUTOMOVIL;1.0;21701
10540025;AUTOMOVIL;1.0;21701
10542035;AUTOMOVIL;1.0;21701
10542038;AUTOMOVIL;1.0;21701
10542137;AUTOMOVIL;1.0;21701
10544021;AUTOMOVIL;1.0;21701
10544022;AUTOMOVIL;1.0;21701
10544075;AUTOMOVIL;1.0;21701
10544076;AUTOMOVIL;1.0;21701
10544129;AUTOMOVIL;1.0;21701
10544130;AUTOMOVIL;1.0;21701
10544132;AUTOMOVIL;1.0;21701
10544174;AUTOMOVIL;1.0;21701
10544177;AUTOMOVIL;1.0;21701
10544181;AUTOMOVIL;1.0;21701
10544186;AUTOMOVIL;1.0;21701
10544189;AUTOMOVIL;1.0;21701
10544198;AUTOMOVIL;1.0;21701
10544199;AUTOMOVIL;1.0;21701
10544201;AUTOMOVIL;1.0;21701
10544205;AUTOMOVIL;1.0;21701
10544246;AUTOMOVIL;1.0;21701
10544247;AUTOMOVIL;1.0;21701
10544249;AUTOMOVIL;1.0;21701
10544250;AUTOMOVIL;1.0;21701
10544267;AUTOMOVIL;1.0;21701
10544898;AUTOMOVIL;1.0;21701
10544910;AUTOMOVIL;1.0;21701
10544912;AUTOMOVIL;1.0;21701
10545671;AUTOMOVIL;1.0;21701
10545674;AUTOMOVIL;1.0;21701
10546761;AUTOMOVIL;1.0;21701
10546805;AUTOMOVIL;1.0;21701
10546850;AUTOMOVIL;1.0;21701
10548720;AUTOMOVIL;1.0;21701
10548729;AUTOMOVIL;1.0;21701
10548761;AUTOMOVIL;1.0;21701
10548779;AUTOMOVIL;1.0;21701
10549235;AUTOMOVIL;1.0;21701
10549238;AUTOMOVIL;1.0;21701
10549242;AUTOMOVIL;1.0;21701
10563282;AUTOMOVIL;1.0;21701
10563291;AUTOMOVIL;1.0;21701
10563297;AUTOMOVIL;1.0;21701
10563315;AUTOMOVIL;1.0;21701
10563321;AUTOMOVIL;1.0;21701
10563323;AUTOMOVIL;1.0;21701
10563860;AUTOMOVIL;1.0;21701
10563885;AUTOMOVIL;1.0;21701
10565220;AUTOMOVIL;1.0;21701
10568580;AUTOMOVIL;1.0;21701
10568804;AUTOMOVIL;1.0;21701
10568805;AUTOMOVIL;1.0;21701
10568813;AUTOMOVIL;1.0;21701
10568814;AUTOMOVIL;1.0;21701
10568882;AUTOMOVIL;1.0;21701
10568885;AUTOMOVIL;1.0;21701
10568895;AUTOMOVIL;1.0;21701
10568898;AUTOMOVIL;1.0;21701
10568901;AUTOMOVIL;1.0;21701
10568903;AUTOMOVIL;1.0;21701
10568904;AUTOMOVIL;1.0;21701
10568906;AUTOMOVIL;1.0;21701
10568909;AUTOMOVIL;1.0;21701
10568915;AUTOMOVIL;1.0;21701
10568919;AUTOMOVIL;1.0;21701
10568921;AUTOMOVIL;1.0;21701
10568922;AUTOMOVIL;1.0;21701
10568924;AUTOMOVIL;1.0;21701
10568925;AUTOMOVIL;1.0;21701
10568927;AUTOMOVIL;1.0;21701
10568928;AUTOMOVIL;1.0;21701
10568930;AUTOMOVIL;1.0;21701
10568931;AUTOMOVIL;1.0;21701
10568933;AUTOMOVIL;1.0;21701
10568934;AUTOMOVIL;1.0;21701
10568936;AUTOMOVIL;1.0;21701
10568937;AUTOMOVIL;1.0;21701
10568939;AUTOMOVIL;1.0;21701
10568940;AUTOMOVIL;1.0;21701
10568942;AUTOMOVIL;1.0;21701
10568943;AUTOMOVIL;1.0;21701
10568945;AUTOMOVIL;1.0;21701
10568946;AUTOMOVIL;1.0;21701
10568948;AUTOMOVIL;1.0;21701
10568949;AUTOMOVIL;1.0;21701
10568951;AUTOMOVIL;1.0;21701
10568952;AUTOMOVIL;1.0;21701
10568961;AUTOMOVIL;1.0;21701
10568963;AUTOMOVIL;1.0;21701
10568966;AUTOMOVIL;1.0;21701
10568967;AUTOMOVIL;1.0;21701
10568969;AUTOMOVIL;1.0;21701
10568972;AUTOMOVIL;1.0;21701
10568973;AUTOMOVIL;1.0;21701
10568979;AUTOMOVIL;1.0;21701
10568981;AUTOMOVIL;1.0;21701
10568991;AUTOMOVIL;1.0;21701
10568993;AUTOMOVIL;1.0;21701
10568994;AUTOMOVIL;1.0;21701
10568996;AUTOMOVIL;1.0;21701
10568997;AUTOMOVIL;1.0;21701
10568999;AUTOMOVIL;1.0;21701
10569000;AUTOMOVIL;1.0;21701
10569002;AUTOMOVIL;1.0;21701
10569003;AUTOMOVIL;1.0;21701
10569005;AUTOMOVIL;1.0;21701
10569006;AUTOMOVIL;1.0;21701
10569008;AUTOMOVIL;1.0;21701
10569009;AUTOMOVIL;1.0;21701
10569012;AUTOMOVIL;1.0;21701
10569014;AUTOMOVIL;1.0;21701
10569015;AUTOMOVIL;1.0;21701
10569021;AUTOMOVIL;1.0;21701
10569023;AUTOMOVIL;1.0;21701
10569024;AUTOMOVIL;1.0;21701
10569026;AUTOMOVIL;1.0;21701
10569029;AUTOMOVIL;1.0;21701
10569030;AUTOMOVIL;1.0;21701
10569042;AUTOMOVIL;1.0;21701
10570853;AUTOMOVIL;1.0;21701
10570854;AUTOMOVIL;1.0;21701
10570863;AUTOMOVIL;1.0;21701
10570869;AUTOMOVIL;1.0;21701
10570875;AUTOMOVIL;1.0;21701
10570878;AUTOMOVIL;1.0;21701
10570880;AUTOMOVIL;1.0;21701
10571058;AUTOMOVIL;1.0;21701
10571060;AUTOMOVIL;1.0;21701
10571063;AUTOMOVIL;1.0;21701
10571064;AUTOMOVIL;1.0;21701
10571069;AUTOMOVIL;1.0;21701
10571070;AUTOMOVIL;1.0;21701
10571072;AUTOMOVIL;1.0;21701
10571106;AUTOMOVIL;1.0;21701
10571114;AUTOMOVIL;1.0;21701
